fold,run,algorithm,accuracy,precision,recall,f1_score,convergence_speed,best_loss,threshold_reached,fold_threshold
1,1,Baseline ACOR,0.6302083333333334,0.75,0.648,0.6952789699570815,101,1.8260396064209397,False,1.431567650398584
1,2,Baseline ACOR,0.6302083333333334,0.7142857142857143,0.72,0.7171314741035857,0,1.3300312745816352,True,1.431567650398584
1,3,Baseline ACOR,0.6197916666666666,0.6710526315789473,0.816,0.7364620938628159,0,1.3151883107195266,True,1.431567650398584
1,4,Baseline ACOR,0.703125,0.7361111111111112,0.848,0.7881040892193308,101,1.6369548995204015,False,1.431567650398584
1,5,Baseline ACOR,0.5885416666666666,0.7053571428571429,0.632,0.6666666666666666,101,1.5067661231631688,False,1.431567650398584
1,6,Baseline ACOR,0.6041666666666666,0.6737588652482269,0.76,0.7142857142857143,101,1.727911715894589,False,1.431567650398584
1,7,Baseline ACOR,0.6510416666666666,0.7457627118644068,0.704,0.7242798353909465,0,0.9646065258206201,True,1.431567650398584
1,8,Baseline ACOR,0.6979166666666666,0.7189542483660131,0.88,0.7913669064748201,0,1.3880391841600297,True,1.431567650398584
1,9,Baseline ACOR,0.6510416666666666,0.7132352941176471,0.776,0.7432950191570882,0,1.4219690915460839,True,1.431567650398584
1,10,Baseline ACOR,0.6666666666666666,0.7479674796747967,0.736,0.7419354838709677,0,0.9303500153831852,True,1.431567650398584
1,11,Baseline ACOR,0.6458333333333334,0.6938775510204082,0.816,0.75,101,1.7928361046680403,False,1.431567650398584
1,12,Baseline ACOR,0.6458333333333334,0.7435897435897436,0.696,0.71900826446281,0,1.1465933048639116,True,1.431567650398584
1,13,Baseline ACOR,0.671875,0.7767857142857143,0.696,0.7341772151898734,101,1.621858759396974,False,1.431567650398584
1,14,Baseline ACOR,0.6041666666666666,0.7634408602150538,0.568,0.6513761467889908,0,1.1025496450161314,True,1.431567650398584
1,15,Baseline ACOR,0.6927083333333334,0.7115384615384616,0.888,0.7900355871886121,0,1.2397544458702576,True,1.431567650398584
